Monitoring Activity: Monitoring Activity Number,Project Name: Project Name,Monitoring Activity: ID,Comments,Contact,Completed?,Country,Department,Development Summary,DO,ECON Report Completed,ECON,ENV,ENV Report Completed,ENV Summary,Fiscal Year,Follow Up,"If Other Activity type, describe here",Monitoring Activity Date,Maturity Date,Monitoring Activity Type,Project ID,Site Visit Start Date,Site Visit Status,SOC,SOC Report Completed,SOC Summary,US Economic Impact Summary,Visit Number,Visit Reason,Monitoring Activity: Record Type,Monitoring Activity: Owner Role,Monitoring Activity: Last Modified Date,Project Name: Type,Project Name: Project Record Type,Project Name: Lead Source,Project Name: Requested DFC Amount,Project Name: Expected Revenue,Project Name: Won,Project Name: Closed,Project Name: Expected Commitment Date,Project Name: Next Step,Project Name: Process Stage,Project Name: Probability (%),Project Name: Fiscal Period,Project Name: Fiscal Year,Project Name: Age,Project Name: Stage Duration,Project Name: Report Category,Project Name: Description,Project Name: Has Line Item,Project Name: Private,Project Name: Created Date,Project Name: Last Modified Date,Project Name: Last Activity,Project Name: API ID,Project Name: Owner Role,Project Name: Project Owner: Title,Project Name: Project Owner: Company,Project Name: Project Owner: Department,Project Name: Project Owner: Division,Project Name: Project Owner: Profile,Project Name: Project Owner: Active,Project Name: Form 007 Comments,Project Name: Form 007 Status,Project Name: Form 007 GUID,Project Name: Form 007 Intake Number,Project Name: 007 Activation Code,Project Name: Form 007 Exception Detail,Project Name: Form 007 Exception Justification,Project Name: SOC Clearance,Project Name: SOC Is Data Sensitive,Project Name: Social Clearance Date,Project Name: Social Clearance Status,Project Name: Pipeline SOC Clearance Status,Project Name: Associated Fund,Project Name: Environmental Summary,Project Name: Environmental Clearance Notes,Project Name: Environmental Officer,Project Name: ENV Clearance,Project Name: ENV is Data Sensitive,Project Name: Env Category,Project Name: Environmental Clearance Date,Project Name: Environmental Clearance Status,Project Name: Pipeline Environmental Clearance Date,Project Name: Pipeline Environmental Clearance Status,Project Name: ECON IQ Metrics Original,Project Name: ECON IQ Metrics,Project Name: zPipeline Economic Clearance Status,Project Name: Secondary Reason for Termination,Project Name: U.S. Economic Impact:,Project Name: Economic Clearance Notes,Project Name: ECON Clearance,Project Name: ECON Project Info,Project Name: Pipeline Economic Clearance Status,Project Name: Pipeline Economic Clearance Date,Project Name: Economic Clearance Date,Project Name: Economic Clearance Status,Project Name: Secondary Office,"Project Name: ""Development/IQ"" Score",Project Name: IQ Score Total,Project Name: IQ Scoring Classification,Project Name: IQ Scoring Model,Project Name: Development/IQ” Score (proxy),Project Name: Unique Entity ID (SAM),Project Name: Is 008 Eligible,Project Name: Site Monitored,Project Name: Transferred to Monitoring,Project Name: In Monitoring,Project Name: Monitoring Designation,Project Name: Requires ODP Clearance,Project Name: ODP Recieved Date,Project Name: ODP Group,Project Name: U.S. Representative,Project Name: County,Project Name: Project ID,Project Name: Multiple Investors,Project Name: Investor Size SB,Project Name: Investment Committee Status,Project Name: Investment Committee Approval Date,Project Name: Other Investment Insurance Amount,Project Name: Investment Committee Scheduled Date,Project Name: Other Investment Insurance Details,Project Name: Has Equity Investment,Project Name: Board Approval Actual Date,Project Name: Board Approval Scheduled Date,Project Name: Board Approval Status,Project Name: Credit Approval Date,Project Name: Underwriting Approval Date,Project Name: Project Screening Approval Date,Project Name: Evaluation Committee Approval Date,Project Name: Funds Evaluation Committee Approval Date,Project Name: Loan Approval Date,Project Name: Equity Evaluation Committee Approve Date,Project Name: CEO Approval Date,Project Name: TA Approval Date,Project Name: Highest Level of Approval Needed,Project Name: Highest Level Approval Needed Achieved,Project Name: Host Country Income Category,Project Name: Country,Project Name: Host Country,Project Name: Project Countries,Project Name: Host Country Region,Project Name: Single Country Coverage,Project Name: Host Country is Review,Project Name: Host Country Low Income Priority,Project Name: Counts Toward Portfolio Exposure,Project Name: Consent Letter Counter Signed Date,Project Name: Discount Factor Pipeline,Project Name: Host Country Code,Project Name: Project Count Amount,Project Name: Reporting Count,Project Name: Country Income Level,Project Name: Lock Country Income Level,Project Name: Has US  Participant Project Account,Project Name: Reporting Count Notes,Project Name: CN Required for Country Override,Project Name: CN Required for Country,Project Name: Account Name,Project Name: Account Site,Project Name: Account Record Type,Project Name: Account Number,Project Name: Account ID,Project Name: Billing Country,Project Name: Shipping Country,Project Name: Country,Project Name: DFC Account ID,Project Name: Account Id
MA - 000065,"SPE AIF I, LP",a273d0000029ZYN,,,,Tunisia,ODP,,0,0,0,0,0,,2024,,,5/10/2024,1/16/2044,Development Impact Monitoring Review,9000104228,,,0,0,,,,,,Office of Investment Policy,6/24/2024,,Fund,,20000000,20000000,1,1,9/30/2020,,Disbursing (after 1st Disbursement),100,Q4-2020,2020,247,1356,Portfolio,"SPE will invest in businesses across North and Sub-Saharan Africa, focused on healthcare, education, strengthening supply chains, and logistics.",0,0,1/27/2020,4/8/2025,,006t0000003U4TP,,Investment Funds Specialist,,Office of Investment Funds (OIF),,Equity - Funds,1,,Policy Clearance Completed,6c65d1de-7ecd-483b-8ea3-886a42ea81df,35526,,,Parent-level Investment Fund (IFD),SOC-2707,0,5/5/2020,C-Cleared,Clearance Completed,,,,,EN-02707,0,D,5/5/2020,C-Cleared,2020-05-05,Clearance Completed,a21t000000HGgqE,9000104228 Form_008_Submission_Adjustment 2021,,,,,EC-05465,a1It00000099Hpq,Clearance Completed,2020-05-12,5/12/2020,C-Cleared,,117.5,122.43,Highly Developmental,0.1.4,,,0,0,,0,,1,,,,,9000104228,0,0,,5/4/2020,,,,0,6/3/2020,6/3/2020,,,,,4/17/2020,4/17/2020,6/3/2020,,,,IC,0,,,Africa Regional,AFRICA REGIONAL,Africa,0,0,0,1,,,699,20000000,1,Lower Middle Income,1,0,,0,0,SPE Capital Partners Ltd.,,SF,,001t000000NnvHG,,,Tunisia,,A-035096
MA - 000043,GIFF-MFI-BRAC Uganda Bank Limited,a273d000001Dnsf,,,,Uganda,ODP,,0,0,0,0,0,,2023,,,4/14/2023,9/9/2024,Development Impact Monitoring Review,9000103700,,,0,0,,,,,,Office of Investment Policy,9/21/2023,,SF,,3110800,3110800,1,1,9/13/2019,,Closed Out,100,Q4-2019,2019,66,187,Omitted,Microfinance institution primarily serving low-income women and employing exclusively women loan officers with a focus on the group lending mode.,0,0,7/9/2019,1/23/2025,,006t0000003JhEe,,Loan Monitoring Officer,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,,,,"Borrower is an MFI and, therefore, pre-cleared under the Global Inclusive Finance Framework.",Pre-cleared sub-level/portfolio company/insurance contract (annex) transaction,SOC-2637,0,9/12/2019,C-Cleared,Clearance Completed,,,,,EN-02637,0,C,9/12/2019,C-Cleared,2019-09-12,Clearance Completed,a213d000001PQpM,9000103700 Form_008_Submission_Adjustment 2021,,,,,EC-05395,a1It0000005TP7d,Clearance Completed,2019-09-12,9/12/2019,C-Cleared,,,0,Not Scored,0.1.4,35,GMJYK3486VS4,0,0,4/9/2021,0,,1,,,,,9000103700,0,0,,,,,,0,,,,9/13/2019,,,,,9/13/2019,,,,Sub-IC,0,Low,,Uganda,Uganda,Africa,0,0,1,1,,,617,3110800,1,,0,1,,0,0,"Citibank, N.A.",,SF,,001t0000001uj9l,,,United States,,A-017643
MA - 000102,Energoatom Central Spent Nuclear Fuel Storage Facility,a27eq000000XCbt,,,,Ukraine,Insurance,,0,0,0,0,0,,2024,,,7/19/2024,7/27/2035,Development Impact Monitoring Review,9000031204,,,0,0,,,,,,Office of Investment Policy,9/19/2024,,Insurance,,270000000,270000000,1,1,2/14/2018,,Contract Executed,100,Q2-2018,2018,1121,2324,Portfolio,"Development and construction of the Central Spent Nuclear Fuel Storage Facility, located in the Chornobyl Exclusion Zone.",0,0,1/20/2015,4/18/2025,5/14/2018,0067000000emMSf,,Managing Director Of Political & Sovereign Risk,Overseas Private Investment Corporation,Office of Energy (OE),,OPIC SFI,1,,Policy Clearance Completed,45d251b7-5a7a-40d5-88ab-e730574149f4,0,,,,LHR-2172,0,9/5/2017,C-Cleared,Clearance Completed,,,,,EN-02172,1,A,8/30/2017,C-Cleared,2017-08-30,Clearance Completed,a21t000000Et8lk,9000031204 Form_008_Submission_Adjustment 2019,,,,,EC-04593,a1It0000000059u,Clearance Completed,2017-05-08,5/8/2017,C-Cleared,,67.5,0,Not Scored,0.1.4,,,0,0,,0,Watch,1,,,,,9000031204,0,0,Required,8/15/2017,,8/15/2017,,0,9/14/2017,9/14/2017,Required,,12/15/2017,8/30/2016,,,9/14/2017,,,,Board,0,Middle,Ukraine,Ukraine,Ukraine,Europe,1,0,0,1,,,121,270000000,1,,0,0,,0,0,CENTRAL STORAGE SAFETY PROJECT TRUST,,,,0017000001CdsDj,,,United States,,A-010784
MA - 000164,Marou Chocolate Joint Stock Company,a27eq000003SJAr,,,,Vietnam,ODP,,0,0,0,0,0,,2025,,,3/4/2025,8/30/2032,Environmental & Social Compliance Project Evaluation,9000115642,,,0,0,,,,,,,4/29/2025,,SMEF,,4000000,400000,1,1,9/5/2022,,Loan Disbursed,10,Q4-2022,2022,295,370,Portfolio,"Construct modern chocolate production facility to FDA standards to produce 1,000 tons per year, central kitchen to supply retail outlets, and new HQ.",0,0,11/14/2021,4/15/2025,,006t0000004FLyQ,,Director,,Office of Small Business and Financial Services (OSBFS),,SMEF User,0,,Policy Clearance Completed,c5cfbec9-af14-46b7-9513-9ed91fa72183,51526,,,,SOC-3259,1,9/8/2022,C-Cleared,Clearance Completed,,,,,EN-03260,0,B,9/7/2022,C-Cleared,2022-09-07,Clearance Completed,a21t000000FlOHI,9000115642-IQ Adjustment Initial Score 2022,,,,,EC-06034,a1It000000B6RoB,Clearance Completed,2022-09-08,9/8/2022,C-Cleared,,,136.69,Highly Developmental,0.1.4,,,1,0,,0,,1,,,,,9000115642,0,0,,,,,,0,,,,9/12/2022,,3/16/2022,,,9/12/2022,,,,Sub-IC,0,Middle,,Vietnam,Vietnam,Asia,0,0,0,1,,,440,,1,Lower Middle Income,1,0,Reporting count updated January 2023,0,0,USAID-Vietnam,,,,0013d00000G94Q9,,,Vietnam,,A-037926
MA - 000163,BuyMed Pte Ltd.,a27eq000003SITJ,,,,Vietnam,ODP,,0,0,0,0,0,,2025,,,3/10/2025,1/11/2043,Environmental & Social Compliance Project Evaluation,9000116056,,,0,0,,,,,,,4/29/2025,,Equity,,17999962.02,17999962.02,1,1,2/7/2023,,Disbursing (after 1st Disbursement),100,Q2-2023,2023,109,106,Portfolio,"Buymed is a technology-enabled, B2B pharma distribution platform serving the needs of pharmacies, hospitals, clinics in rural areas of Vietnam.",0,0,10/21/2022,2/12/2025,,006t0000004XtFz,,Project Finance Specialist,,Office of Health & Agribusiness (OHA),,Equity - Funds,1,,Policy Clearance Completed,d274dce4-397c-465e-a8b6-ea29402dc908,53658,,,,SOC-3341,0,1/9/2023,C-Cleared,Clearance Completed,,,,,EN-03342,0,B,1/9/2023,C-Cleared,2023-01-09,Clearance Completed,a213d0000017MUA,9000116056-IQ Adjustment Initial Score 2023,,,,,EC-06117,a1I3d0000009Lfg,Clearance Completed,2023-01-06,1/6/2023,C-Cleared,,,121.49,Highly Impactful,0.1.4,,,0,0,,0,,1,,,,,9000116056,0,0,,1/12/2023,,,,0,2/6/2023,,,,,10/26/2022,,,2/6/2023,,,,Board,0,Middle,,Vietnam,Vietnam,Asia,0,0,0,1,,,440,,1,Lower Middle Income,0,1,,0,0,Peter Nguyen,,,,0013d00000Ba4Fj,,,,,A-037093
MA - 000161,TechMet Limited (2020),a27eq000003NuHV,,,,Brazil,ODP,,0,0,0,0,0,,2024,,ECON monitoring conducted along with impact monitoring,7/8/2024,12/21/2030,Development Impact Monitoring Review,9000104280,,,0,0,,,,,,Office of Investment Policy,4/24/2025,,SF,,25000000,25000000,1,1,9/30/2020,,Transferred to Monitoring,100,Q4-2020,2020,209,1441,Portfolio,Hybrid debt for the purpose of expanding production capacity of Brazilian cobalt/nickel mining subsidiary,0,0,3/5/2020,2/12/2025,,006t0000002C1SY,,Managing Director,,Office of Investment Funds (OIF),,Equity - Funds,1,,Policy Clearance Completed,14f523f6-49e6-4bca-bc84-0bb2a33a3da4,35727,,,,SOC-2758,1,8/24/2020,C-Cleared,Clearance Completed,,,,,EN-02758,1,A,8/24/2020,C-Cleared,2020-08-24,Clearance Completed,a21t000000FlO4i,9000104280-IQ Adjustment Initial Score 2020,,,,,EC-05516,a1It000000AIo5t,Clearance Completed,2020-08-25,8/25/2020,C-Cleared,,121.4,125.85,Highly Developmental,0.1.4,,X3X2G4GD8EG7,0,0,5/19/2021,0,,1,,,,,9000104280,0,0,,8/27/2020,,,,0,,,,8/31/2020,,3/3/2020,,,8/31/2020,,,,IC,0,High,,Brazil,Brazil,Western Hem,0,0,0,1,,,512,25000000,1,Upper Middle Income,1,0,,0,0,TECHMET LIMITED,,SF,,001t000000MwaOI,,,Ireland,,A-035066
MA - 000155,Banco BTG Pactual S.A.,a27eq000002WwhF,,,,Brazil,ODP,,0,0,0,0,0,,2025,,E&S monitoring by Tchelet Segev and Matthew Sugihara,,7/15/2028,Environmental & Social Compliance Project Evaluation,9000104394,,,0,0,,,,,,Administrative,2/24/2025,,SF,,300000000,300000000,1,1,6/25/2021,,Transferred to Monitoring,100,Q3-2021,2021,435,1257,Portfolio,Expansion of SME portfolio with concentration on 2X SMEs and SMEs located in economically disadvantaged regions of Brazil.,0,0,4/16/2020,4/22/2025,,006t00000033pOc,,"Director, Project Monitoring",,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,f0e57bdf-2f4e-43e1-b317-56cf47e20df9,38009,,,,SOC-2843,0,10/16/2020,C-Cleared,Clearance Completed,,,,,EN-02843,0,C,10/16/2020,C-Cleared,2020-10-16,Clearance Completed,a21t000000Et6jS,9000104394-IQ Adjustment Initial Score 2021,,,,,EC-05601,a1It000000AO0B0,Clearance Completed,2020-12-21,12/21/2020,C-Cleared,,113.1,113.05,Highly Developmental,0.1.4,,,0,0,11/19/2021,0,,1,,,,,9000104394,0,0,,1/26/2021,,,,0,3/9/2021,,,12/16/2020,,4/16/2020,,,3/9/2021,,,,Board,0,High,,Brazil,Brazil,Western Hem,0,0,0,1,,,512,,1,Upper Middle Income,1,0,,0,0,Banco BTG Pactual S.A.,,,,001t0000001uglu,,,Brazil,,A-016746
MA - 000098,Smart RJ Concessionaria,a27eq00000087lt,,,,Brazil,ODP,,0,0,0,0,0,,2024,,,7/13/2024,9/20/2032,Development Impact Monitoring Review,9000104739,,,0,0,,,,,,Office of Investment Policy,8/30/2024,,SF,,267000000,267000000,1,1,9/27/2021,,Transferred to Monitoring,100,Q4-2021,2021,360,104,Portfolio,Provision of public lighting services and smart city infrastructure throughout the city of Rio de Janeiro.,0,0,10/2/2020,3/22/2025,,006t0000003Dx6G,,"Director, Portfolio Management",,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,365c76e8-65a1-439d-8011-ceac3d79fdbc,38944,,,,SOC-2916,1,8/3/2021,C-Cleared,Clearance Completed,,,,,EN-02916,0,B,7/23/2021,C-Cleared,2021-07-23,Clearance Completed,a21t000000Et7zl,9000104739-IQ Adjustment Initial Score 2021,,,,,EC-05674,a1It000000B25M4,Clearance Completed,2021-08-05,8/5/2021,C-Cleared,,121.7,121.7,Highly Developmental,0.1.4,,,0,0,9/25/2024,0,,1,,,,,9000104739,0,0,,7/27/2021,,,,0,9/9/2021,,,7/2/2021,,,,,9/9/2021,,,,Board,0,High,,Brazil,Brazil,Western Hem,0,0,0,1,,,512,,1,Upper Middle Income,1,0,,0,0,HT High Trend International LLC,,SF,,001t000000UsVCl,,,USA,,A-035516
MA - 000097,GIP Medicina Diagnóstica S.A. (“Femme”),a27eq00000087Vl,,,,Brazil,ODP,,0,0,0,0,0,,2024,,,7/15/2024,12/15/2033,Development Impact Monitoring Review,9000104801,,,0,0,,,,,,Office of Investment Policy,8/30/2024,,SMEF,,31000000,3100000,1,1,2/11/2022,,Loan Disbursed,10,Q2-2022,2022,449,365,Portfolio,Expansion of affordable women's healthcare diagnostic centers.,0,0,11/19/2020,3/19/2025,,006t0000004F7oM,,Project Finance Specialist,,Investment Office (IO),,SMEF User,1,,Policy Clearance Completed,bd5e7ee2-ddc5-4dca-8814-0d39774730cc,46270,,,,SOC-3030,1,8/4/2021,C-Cleared,Clearance Completed,,,,,EN-03031,0,B,8/2/2021,C-Cleared,2021-08-02,Clearance Completed,a21t000000Et87a,9000104801-IQ Adjustment Initial Score 2022,,,,,EC-05791,a1It000000B2amR,Clearance Completed,2021-08-19,8/19/2021,C-Cleared,,123.6,123.56,Highly Developmental,0.1.4,,,1,0,,0,,1,,,,,9000104801,0,0,,12/14/2021,,,,0,,,,12/13/2021,,12/16/2020,,,12/14/2021,,,,IC,0,High,,Brazil,Brazil,Western Hem,0,0,0,1,,,512,,1,Upper Middle Income,1,1,Reporting count updated January 2023,0,0,GIP Medicina Diagnóstica S.A. (“Femme”),,SF,,001t000000VcdPV,,,Brazil,,A-035561
MA - 000028,Itaú Unibanco S.A.,a273d0000013P0a,,,,Brazil,ODP,,0,0,0,0,0,,2023,,,,3/16/2026,Environmental & Social Compliance Project Evaluation,9000104455,,,0,0,,,,,,Administrative,9/4/2024,,SF,,400000000,400000000,1,1,9/29/2020,,Transferred to Monitoring,100,Q4-2020,2020,132,1435,Portfolio,Onlending facility to support 2X and SMEs,0,0,5/20/2020,4/7/2025,,006t0000003QGJi,,"Director, Project Monitoring",,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,2b9a61e3-629e-4192-be01-71988b988271,37477,,,,SOC-2787,0,7/29/2020,C-Cleared,Clearance Completed,,,,,EN-02787,0,C,7/29/2020,C-Cleared,2020-07-29,Clearance Completed,a21t000000Et8UZ,9000104455-IQ Adjustment Initial Score 2020,,,,,EC-05545,a1It000000AIjuD,Clearance Completed,2020-08-19,8/19/2020,C-Cleared,,113.1,113.67,Highly Developmental,0.1.4,,MPYSRDGN89K5,0,0,5/25/2021,0,,1,,,,,9000104455,0,0,,8/19/2020,,,,0,,,,7/29/2020,,5/29/2020,,,7/29/2020,,,,Board,0,High,,Brazil,Brazil,Western Hem,0,0,0,1,,,512,400000000,1,Upper Middle Income,1,0,,0,0,Itau Unibanco S.A.,,SF,,001t0000001ug53,,,Brazil,,A-016044
MA - 000140,Customer Voice TA Facility,a27eq000001li0D,,,,Burkina Faso,ODP,,0,0,0,0,0,,2024,,Report for Ignitia AB (9000116280),7/31/2024,,Stakeholder Survey,9000116069,,,0,0,,,,,,Office of Investment Policy,12/16/2024,,Technical Assistance,,1000000,1000000,1,1,5/15/2023,,Disbursing (after 1st Disbursement),100,Q3-2023,2023,195,655,Portfolio,"The TA will establish the DFC Customer Voice TA Facility to support the design, implementation, and analysis of end-customer surveys.",0,0,11/1/2022,11/12/2024,,0063d0000029xMF,Office of Investment Policy,Technical Assistance Specialist,,Office of Development Policy (ODP),,Technical Assistance,0,,Not Created,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,Not Scored,0.1.4,,JXCNK5CC1LP8,0,0,,0,,1,,,,,9000116069,0,0,,,,,,0,,,,,,10/21/2022,,,,,,5/19/2023,Sub-IC,0,,,Worldwide,"Worldwide, Kenya",ALL,0,0,0,1,,,999,,,N/A,0,0,,0,0,"60 Decibels, Inc.",,,,0013d000009fMrW,,,United States,,A-036684
MA - 000106,IGNITIA AB,a27eq000000keCA,,,,Burkina Faso,ODP,,0,0,0,0,0,,2024,,Customer Voice Facility,7/31/2024,1/26/2027,Stakeholder Survey,9000116280,,,0,0,,,,,,Office of Investment Policy,12/16/2024,,SMEF,,1000000,100000,1,1,8/31/2023,,Loan Disbursed,10,Q4-2023,2023,191,406,Portfolio,Ignitia AB is a tropical weather forecasting service designed for smallholder farmers.,0,0,2/21/2023,3/17/2025,,0063d000002Cd0U,,"Program Manager, Africa Small Business Catalyst",,Office of Small Business and Financial Services (OSBFS),,SMEF User,1,,Policy Clearance Completed,24419768-66b2-4cb7-a415-eab185563415,54810,,,,SOC-3424,0,5/24/2023,C-Cleared,Clearance Completed,,,,,EN-03427,0,FI C/Fund C,5/12/2023,C-Cleared,2023-05-12,Clearance Completed,a213d000001VFkw,9000116280-IQ Adjustment Initial Score 2023,Clearance Completed,,,,EC-06276,a1I3d000000DPcR,Clearance Completed,2023-05-23,5/23/2023,C-Cleared,,,132.43,Exceptional,0.1.4,,,1,0,,0,,1,,,,,9000116280,0,0,,,,,,0,,,,8/4/2023,,2/15/2023,,,8/4/2023,,,,Sub-IC,0,Low,,Kenya,"Kenya, Ghana, Congo Democratic Republic Of",Africa,0,0,0,1,,,615,,,Lower Middle Income,0,0,,0,0,,,,,,,,,,
MA - 000141,Customer Voice TA Facility,a27eq000001li3R,,,,Cambodia,ODP,,0,0,0,0,0,,2024,,"Report for Khmer Water Supply Holding Co., Ltd. (9000104892)",6/27/2024,,Stakeholder Survey,9000116069,,,0,0,,,,,,Office of Investment Policy,12/16/2024,,Technical Assistance,,1000000,1000000,1,1,5/15/2023,,Disbursing (after 1st Disbursement),100,Q3-2023,2023,195,655,Portfolio,"The TA will establish the DFC Customer Voice TA Facility to support the design, implementation, and analysis of end-customer surveys.",0,0,11/1/2022,11/12/2024,,0063d0000029xMF,Office of Investment Policy,Technical Assistance Specialist,,Office of Development Policy (ODP),,Technical Assistance,0,,Not Created,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,Not Scored,0.1.4,,JXCNK5CC1LP8,0,0,,0,,1,,,,,9000116069,0,0,,,,,,0,,,,,,10/21/2022,,,,,,5/19/2023,Sub-IC,0,,,Worldwide,"Worldwide, Kenya",ALL,0,0,0,1,,,999,,,N/A,0,0,,0,0,"60 Decibels, Inc.",,,,0013d000009fMrW,,,United States,,A-036684
MA - 000107,"Khmer Water Supply Holding Co., Ltd.",a27eq000000kmxh,,,,Cambodia,ODP,,0,0,0,0,0,,2024,,Customer Voice Facility,6/27/2024,,Stakeholder Survey,9000104892,,,0,0,,,,,,Office of Investment Policy,12/16/2024,,SMEF,,7000000,7000000,1,1,9/15/2022,,Committed,100,Q4-2022,2022,595,946,Portfolio,"A direct loan to KWSH, the holding company of private water operators providing piped water to rural and semi-rural Cambodians.",0,0,1/28/2021,2/19/2025,,006t0000004F9yp,,"Managing Director, Social Enterprise Finance",,Office Of Catalytic Investments (OCI),,Equity - Funds,1,,Policy Clearance Completed,a0db7baf-4510-4aa2-93f2-fde1d3eaafae,47618,,,,SOC-3076,0,5/18/2022,C-Cleared,Clearance Completed,,,,,EN-03077,0,B,4/5/2022,C-Cleared,2022-04-05,Clearance Completed,a21t000000Et8Lw,9000104892-IQ Adjustment Initial Score 2022,,,,,EC-05837,a1It000000B6Qrh,Clearance Completed,2022-04-12,4/12/2022,C-Cleared,,125.85,125.85,Highly Developmental,0.1.4,,,0,0,,0,,1,,,,,9000104892,0,0,,,,,,0,,,,7/27/2022,,5/11/2021,,,7/27/2022,,,,Sub-IC,0,Low,,Cambodia,Cambodia,Asia,0,0,1,1,,,442,,1,Lower Middle Income,1,0,Reporting count updated January 2023,0,1,,,,,,,,,,
MA - 000125,Water Equity - Global Access Fund,a27eq000001KfZV,,,,Ecuador,ODP,,0,0,0,0,0,,2025,,"Other officers included: Matthew Pritchard, Therese McCarry, Shreena Patel. DI monitoring conducted in parallel by Shreena.",10/1/2024,4/14/2028,Environmental & Social Compliance Project Evaluation,9000093664,,,0,0,,,,,,Administrative,11/1/2024,,SMEF,,100000000,100000000,1,1,8/14/2020,,Transferred to Monitoring,100,Q4-2020,2020,429,1309,Portfolio,"A MIV that will downstream funding to MFIs for water and sanitation micro-loans, mainly benefiting women.",0,0,6/12/2019,4/16/2025,5/1/2020,006t0000003IcV8,,Senior Investment Officer,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,please see my email from 8/20please see my email from 10/21Please see my email from 10/22,Policy Clearance in Progress,0a695828-0e10-4447-bc3c-37b92e673474,32327,,,,SOC-2653,0,12/2/2019,C-Cleared,Clearance Completed,,,,,EN-02653,0,C,12/2/2019,C-Cleared,2019-12-02,Clearance Completed,a21t000000HGguk,9000093664 Form_008_Submission_Adjustment 2021,,,,,EC-05411,a1It0000006yjYi,Clearance Completed,2019-12-17,12/17/2019,C-Cleared,,67.5,139.75,Highly Developmental,0.1.4,,,0,0,9/28/2021,0,,1,,,,,9000093664,0,0,,2/4/2020,,,,0,3/11/2020,,,12/20/2019,,8/29/2019,,,3/11/2020,,,,Board,0,,,Worldwide,"WORLDWIDE, India",ALL,0,0,0,1,,,999,100000000,1,Lower Middle Income,1,1,"Updated reporting count and project relationship January, 2023",0,0,WaterCredit LLC,,SF,,001t000000Ia6L1,,,United States,,A-034256
MA - 000126,Banco Guayaquil S.A.,a27eq000001Lacb,,,,Ecuador,ODP,,0,0,0,0,0,,2025,,Other E&S officers who participated in monitoring include: Therese McCarry and Matthew Pritchard. Shreena Patel concurrently conducted DI monitoring.,10/4/2024,8/15/2028,Environmental & Social Compliance Project Evaluation,9000103817,,,0,0,,,,,,Administrative,11/4/2024,,SF,,92000000,92000000,1,1,9/16/2020,,Transferred to Monitoring,100,Q4-2020,2020,317,1537,Portfolio,Expansion of loan portfolio to small and medium enterprises.,0,0,11/4/2019,4/24/2025,,006t00000039uK9,,Portfolio Monitoring Specialist,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,d0b3dd45-c4a3-4cb2-ad9c-e1d31718af58,35172,,,,SOC-2695,0,4/8/2020,C-Cleared,Clearance Completed,,,,,EN-02695,0,C,4/8/2020,C-Cleared,2020-04-08,Clearance Completed,a21t000000FlOEy,9000103817 Form_008_Submission_Adjustment 2020,,,,,EC-05453,a1It0000008UynR,Clearance Completed,2020-05-28,5/28/2020,C-Cleared,,99,98.91,Developmental,0.1.4,,,0,0,2/12/2021,0,,1,,,,,9000103817,0,0,,5/1/2020,,,,0,6/3/2020,,,4/27/2020,,10/8/2019,,,6/3/2020,,,,Board,0,Middle,,Ecuador,Ecuador,Western Hem,0,0,0,1,,,518,92000000,1,Upper Middle Income,0,1,,0,0,"Citibank, N.A.",,,,0017000001BzDLo,UNITED STATES,,UNITED STATES,CITIBANK00CITIBANK00,A-011618
